gz_id,label,start,end_,partido_generico,provincia_generica,region,iglesia_cat,servido_por,categoria,categoria_especial,cabildo,parcialidad,es_parte_de,lat,lon,cert,metodo,curato_generico,pais,nombre,variantes,nombrehoy,santo,start_ex,end_ex,fuente_ID,importancia
1000006,Acapulco,1569,1598,Acapulco,Mexico,NES,Curato,s.d.,Poblacion,"""Pueblo""",s.d.,No,1000000,16.8486500004,-99.9084900002,Exacta,Geoservice/Satelite,Acapulco,MEX,Acapulco,None,Acapulco,None,exact,exact,gerhardNE,4
1000007,Pachuca,1569,1765,Pachuca,Mexico,NES,Curato,s.d.,Villa,Real de minas,Cabildo,No,1000000,20.121599,-98.7331389999,Buena,Geoservice/Satelite,Pachuca,MEX,Pachuca,Real de Pachuca|,None,None,exact,not_after,gerhardNE,3
1000007,Pachuca,1766,9999,Pachuca,Mexico,NES,Curato,s.d.,Ciudad,Real de minas,Cabildo,No,1000000,20.121599,-98.7331389999,Buena,Geoservice/Satelite,Pachuca,MEX,Pachuca,Real de Pachuca|,None,None,not_after,end,gerhardNE,3
1000008,Valladolid,1580,9999,Valladolid,Michoacan,NES,Sagrario,s.d.,Ciudad,Ciudad,Cabildo,No,1000000,19.7038889998,-101.184722,Buena,Geoservice/Satelite,Valladolid,MEX,Valladolid,None,None,None,exact,end,tanck,2
1000008,Valladolid,1545,1579,Valladolid,Michoacan,NES,Curato,s.d.,Ciudad,Ciudad,Cabildo,No,1000000,19.7038889998,-101.184722,Buena,Geoservice/Satelite,Valladolid,MEX,Valladolid,None,None,None,exact,end,tanck,3
1000009,Compostela,1540,9999,Compostela,Guadalajara,GDJ,Curato,s.d.,Ciudad,Ciudad,s.d.,No,1000000,21.2378899999,-104.901177,Exacta,Geoservice/Satelite,Compostela,MEX,Compostela,None,Compostela,None,exact,end,gerhard-north,3
1000010,Monterrey,1779,9999,Monterrey,Nuevo Leon,GDJ,Sagrario,s.d.,Ciudad,Ciudad,Cabildo,No,1000000,25.6709710004,-100.309982,Exacta,Geoservice/Satelite,Monterrey,MEX,Monterrey,None,Monterrey,None,exact,end,gerhard-north,2
1000010,San Luis Rey de Francia,1582,1589,Monterrey,Nuevo Leon,GDJ,s.d.,s.d.,Villa,Villa,s.d.,No,1000000,25.6709710004,-100.309982,Exacta,Geoservice/Satelite,Monterrey,MEX,San Luis Rey de Francia,None,Monterrey,None,exact,ca,gerhard-north,3
1000014,Antequera,1531,1534,Antequera,Oaxaca,NES,Curato,s.d.,Ciudad,Ciudad,Cabildo,No,1000000,17.0697099999,-96.7189000001,Exacta,Geoservice/Satelite,Antequera,MEX,Antequera,None,Oaxaca de Juarez,None,exact,end,gerhardNE,3
1000015,Puebla,1531,9999,Puebla,Puebla,NES,Sagrario,s.d.,Ciudad,Ciudad,Cabildo,No,1000000,19.0425899998,-98.1980400001,Exacta,Geoservice/Satelite,Puebla,MEX,Puebla de los Angeles,None,Puebla de Zaragoza,None,exact,end,gerhardNE,2
1000016,San Luis Potosi,1592,9999,San Luis Potosi,San Luis Potosi,NES,Curato,s.d.,Ciudad,Real de minas,Cabildo,No,1000000,22.1515300003,-100.97581,Exacta,Geoservice/Satelite,San Luis Potosi,MEX,San Luis Potosi,None,San Luis Potosi,None,start,end,gerhardNE,2
1000017,Arizpe,1783,9999,Sonora,Sonora-Sinaloa,GDJ,Sagrario,Secular,Ciudad,Ciudad,No,No,1000000,30.3360250001,-110.166305,Exacta,Geoservice/Satelite,Arizpe,MEX,Arizpe,None,Arizpe,None,exact,end,gerhard-north,4
1000017,Arizpe,1651,1767,Sonora,Sonora-Sinaloa,GDJ,Mision cabecera,SJ,Poblacion,Villa,No,No,1000000,30.3360250001,-110.166305,Exacta,Geoservice/Satelite,Arizpe,MEX,Arizpe,None,Arizpe,None,fundacion,exact,gerhard-north,5
1000017,Arizpe,1768,1782,Sonora,Sonora-Sinaloa,GDJ,Mision cabecera,OFM,Poblacion,Villa,No,No,1000000,30.3360250001,-110.166305,Exacta,Geoservice/Satelite,Arizpe,MEX,Arizpe,None,Arizpe,None,exact,exact,gerhard-north,4
