name,lat,lon,province,district,reference
Vásquez,-4.31436831829395,-73.4563655460971,Loreto,Nauta,"VERA VEREAU, Melina Maribel; y, Rafael CABANILLAS CALDERÓN. 2006. Inventario y registro del Patrimonio Cultural de la Nación: Región Loreto. 136 pp. Informe Final presentado al Programa Qhapaq Ñan. Iquitos, Perú."
Buena Unión,-4.2941266838404,-73.4375333486481,Loreto,Nauta,"VERA VEREAU, Melina Maribel; y, Rafael CABANILLAS CALDERÓN. 2006. Inventario y registro del Patrimonio Cultural de la Nación: Región Loreto. 136 pp. Informe Final presentado al Programa Qhapaq Ñan. Iquitos, Perú."
Aquituare (San Joaquín de Omaguas),-4.28539160216755,-73.4291552535684,Loreto,Nauta,"VERA VEREAU, Melina Maribel; y, Rafael CABANILLAS CALDERÓN. 2006. Inventario y registro del Patrimonio Cultural de la Nación: Región Loreto. 136 pp. Informe Final presentado al Programa Qhapaq Ñan. Iquitos, Perú."
Iwatara Ritama Kana,-4.312019807071628,-73.45258073474876,Loreto,Nauta,"VICENTE HUAMANÍ, Rúlfer. 2012. Identificación y delimitación de zonas culturales intangibles. Informe enmarcado dentro del proyecto: “Saneamiento y Titulación de Predios Rurales, para el Desarrollo Alternativo, Integral y Sostenible”. GOREL / DEVIDA. Iquitos, Perú."
Warika - Buena Union,-4.293157217872856,-73.43623900298607,Loreto,Nauta,"VICENTE HUAMANÍ, Rúlfer. 2012. Identificación y delimitación de zonas culturales intangibles. Informe enmarcado dentro del proyecto: “Saneamiento y Titulación de Predios Rurales, para el Desarrollo Alternativo, Integral y Sostenible”. GOREL / DEVIDA. Iquitos, Perú."
Paranasima – Nueva Esperanza,-4.235243114510824,-73.37537294994915,Loreto,Nauta,"VICENTE HUAMANÍ, Rúlfer. 2012. Identificación y delimitación de zonas culturales intangibles. Informe enmarcado dentro del proyecto: “Saneamiento y Titulación de Predios Rurales, para el Desarrollo Alternativo, Integral y Sostenible”. GOREL / DEVIDA. Iquitos, Perú."
San Regis,-4.512677310575827,-73.90567799553561,Loreto,Nauta,"VICENTE HUAMANÍ, Rúlfer. 2012. Identificación y delimitación de zonas culturales intangibles. Informe enmarcado dentro del proyecto: “Saneamiento y Titulación de Predios Rurales, para el Desarrollo Alternativo, Integral y Sostenible”. GOREL / DEVIDA. Iquitos, Perú."
Tuyuka Pata o 23 de Junio,-4.542146000523689,-73.85883736121883,Loreto,Nauta,"VICENTE HUAMANÍ, Rúlfer. 2012. Identificación y delimitación de zonas culturales intangibles. Informe enmarcado dentro del proyecto: “Saneamiento y Titulación de Predios Rurales, para el Desarrollo Alternativo, Integral y Sostenible”. GOREL / DEVIDA. Iquitos, Perú. // MALLCO HUARCAYA, Rafael. 2016. Identificación y registro de sitios y zonas culturales intangibles de interés cultural en los ríos Pastaza, Tigre, Corrientes y Marañón, en el marco del Proyecto de ampliación del servicio de Catastro, Titulación y Registro de Tierras en las comunidades nativas de las cuencas de los ríos Pastaza, Tigre, Corrientes y Marañón, de las Provincias de Datem del Marañón y Loreto, región Loreto, con Código SNIP 316426. 208 pp. Informe Final presentado al Proyecto Titulación 4 Cuencas (Código SNIP 316426), Dirección Regional Agraria de Loreto, Gerencia de Desarrollo Económico – Gobierno Regional de Loreto. Iquitos, Perú."
Villa Cruzadores,-4.568629243528871,-73.78700459706648,Loreto,Nauta,"VICENTE HUAMANÍ, Rúlfer. 2012. Identificación y delimitación de zonas culturales intangibles. Informe enmarcado dentro del proyecto: “Saneamiento y Titulación de Predios Rurales, para el Desarrollo Alternativo, Integral y Sostenible”. GOREL / DEVIDA. Iquitos, Perú. // MALLCO HUARCAYA, Rafael. 2016. Identificación y registro de sitios y zonas culturales intangibles de interés cultural en los ríos Pastaza, Tigre, Corrientes y Marañón, en el marco del Proyecto de ampliación del servicio de Catastro, Titulación y Registro de Tierras en las comunidades nativas de las cuencas de los ríos Pastaza, Tigre, Corrientes y Marañón, de las Provincias de Datem del Marañón y Loreto, región Loreto, con Código SNIP 316426. 208 pp. Informe Final presentado al Proyecto Titulación 4 Cuencas (Código SNIP 316426), Dirección Regional Agraria de Loreto, Gerencia de Desarrollo Económico – Gobierno Regional de Loreto. Iquitos, Perú."
Unqu Mayu,-4.57061967993953,-73.78202595919834,Loreto,Nauta,"VICENTE HUAMANÍ, Rúlfer. 2012. Identificación y delimitación de zonas culturales intangibles. Informe enmarcado dentro del proyecto: “Saneamiento y Titulación de Predios Rurales, para el Desarrollo Alternativo, Integral y Sostenible”. GOREL / DEVIDA. Iquitos, Perú."
Villa Cristiana,-4.572717609402731,-73.776461260545,Loreto,Nauta,"VICENTE HUAMANÍ, Rúlfer. 2012. Identificación y delimitación de zonas culturales intangibles. Informe enmarcado dentro del proyecto: “Saneamiento y Titulación de Predios Rurales, para el Desarrollo Alternativo, Integral y Sostenible”. GOREL / DEVIDA. Iquitos, Perú. // MALLCO HUARCAYA, Rafael. 2016. Identificación y registro de sitios y zonas culturales intangibles de interés cultural en los ríos Pastaza, Tigre, Corrientes y Marañón, en el marco del Proyecto de ampliación del servicio de Catastro, Titulación y Registro de Tierras en las comunidades nativas de las cuencas de los ríos Pastaza, Tigre, Corrientes y Marañón, de las Provincias de Datem del Marañón y Loreto, región Loreto, con Código SNIP 316426. 208 pp. Informe Final presentado al Proyecto Titulación 4 Cuencas (Código SNIP 316426), Dirección Regional Agraria de Loreto, Gerencia de Desarrollo Económico – Gobierno Regional de Loreto. Iquitos, Perú."
Ipuku,-4.49729896799055,-73.56616925469042,Loreto,Nauta,"VICENTE HUAMANÍ, Rúlfer. 2012. Identificación y delimitación de zonas culturales intangibles. Informe enmarcado dentro del proyecto: “Saneamiento y Titulación de Predios Rurales, para el Desarrollo Alternativo, Integral y Sostenible”. GOREL / DEVIDA. Iquitos, Perú."
Ukara,-4.461133217855188,-73.53009658756234,Loreto,Nauta,"VICENTE HUAMANÍ, Rúlfer. 2012. Identificación y delimitación de zonas culturales intangibles. Informe enmarcado dentro del proyecto: “Saneamiento y Titulación de Predios Rurales, para el Desarrollo Alternativo, Integral y Sostenible”. GOREL / DEVIDA. Iquitos, Perú."
Sara Goza,-4.470901645583049,-73.59516483956159,Loreto,Nauta,"VICENTE HUAMANÍ, Rúlfer. 2012. Identificación y delimitación de zonas culturales intangibles. Informe enmarcado dentro del proyecto: “Saneamiento y Titulación de Predios Rurales, para el Desarrollo Alternativo, Integral y Sostenible”. GOREL / DEVIDA. Iquitos, Perú."
Gasparito,-4.470897198505657,-73.59284894524974,Loreto,Nauta,"VICENTE HUAMANÍ, Rúlfer. 2012. Identificación y delimitación de zonas culturales intangibles. Informe enmarcado dentro del proyecto: “Saneamiento y Titulación de Predios Rurales, para el Desarrollo Alternativo, Integral y Sostenible”. GOREL / DEVIDA. Iquitos, Perú."
Santa Rita,-4.564806552197872,-73.66653505800738,Loreto,Nauta,"VICENTE HUAMANÍ, Rúlfer. 2012. Identificación y delimitación de zonas culturales intangibles. Informe enmarcado dentro del proyecto: “Saneamiento y Titulación de Predios Rurales, para el Desarrollo Alternativo, Integral y Sostenible”. GOREL / DEVIDA. Iquitos, Perú."
Nueve de Octubre,-4.572147747610829,-73.69447941391253,Loreto,Nauta,"VICENTE HUAMANÍ, Rúlfer. 2012. Identificación y delimitación de zonas culturales intangibles. Informe enmarcado dentro del proyecto: “Saneamiento y Titulación de Predios Rurales, para el Desarrollo Alternativo, Integral y Sostenible”. GOREL / DEVIDA. Iquitos, Perú."
Yame Pata,-4.5706173170918225,-73.73371563913618,Loreto,Nauta,"VICENTE HUAMANÍ, Rúlfer. 2012. Identificación y delimitación de zonas culturales intangibles. Informe enmarcado dentro del proyecto: “Saneamiento y Titulación de Predios Rurales, para el Desarrollo Alternativo, Integral y Sostenible”. GOREL / DEVIDA. Iquitos, Perú."
Yarina del Yanayacu,-4.742333397890686,-73.98326670420609,Loreto,Nauta,"RIVAS PANDURO, Santiago. 2010. Informe de viaje realizado a la Reserva Pacaya Samiria. 8 pp. Manuscrito. Iquitos, Perú."
Ayahuascal,-4.72131068867658,-74.278521468127,Loreto,Parinari,"MORALES CHOCANO, Daniel. 2002. Contactos entre cocamas y shipibos: un acercamiento arqueológico a la Amazonía peruana. pp. 47-70. Investigaciones Sociales, Año 6, N°10. UNMSM. Lima, Perú."
Chambira,-4.71318477165494,-74.311610872051,Loreto,Parinari,"MORALES CHOCANO, Daniel. 2002. Contactos entre cocamas y shipibos: un acercamiento arqueológico a la Amazonía peruana. pp. 47-70. Investigaciones Sociales, Año 6, N°10. UNMSM. Lima, Perú."
Salvavidas del Uiuri,-4.72612476498363,-74.4145592252906,Loreto,Parinari,"RIVAS PANDURO, Santiago. 2010. Informe de viaje realizado a la Reserva Pacaya Samiria. 8 pp. Manuscrito. Iquitos, Perú."
PV 4 Pithecia,-5.2113835521228,-74.6692253916265,Loreto,Parinari,"RIVAS PANDURO, Santiago. 2010. Informe de viaje realizado a la Reserva Pacaya Samiria. 8 pp. Manuscrito. Iquitos, Perú. (Testimonio oral a Santiago Rivas Panduro de José Grocio Gil Navarro, 2010, Jefe de la Reserva Nacional Pacaya Samiria)"
PV 5 Santa Elena,-5.2357625955142,-74.8228381843179,Loreto,Parinari,"RIVAS PANDURO, Santiago. 2010. Informe de viaje realizado a la Reserva Pacaya Samiria. 8 pp. Manuscrito. Iquitos, Perú. (Testimonio oral a Santiago Rivas Panduro de José Grocio Gil Navarro, 2010, Jefe de la Reserva Nacional Pacaya Samiria)"
PV 7 Camonal o Camotal,-5.20593276252981,-75.4419144318284,Loreto,Parinari,"RIVAS PANDURO, Santiago. 2010. Informe de viaje realizado a la Reserva Pacaya Samiria. 8 pp. Manuscrito. Iquitos, Perú. (Oral testimony to Santiago Rivas Panduro from José Grocio Gil Navarro, 2010, Jefe de la Reserva Nacional Pacaya Samiria)"
PV 8 Tibilo,-5.23746759838089,-75.5954494808281,Loreto,Parinari,"RIVAS PANDURO, Santiago. 2010. Informe de viaje realizado a la Reserva Pacaya Samiria. 8 pp. Manuscrito. Iquitos, Perú. (Oral testimony to Santiago Rivas Panduro from José Grocio Gil Navarro, 2010, Jefe de la Reserva Nacional Pacaya Samiria)"
Nolo del Parinari,-4.65324896399544,-74.6284962806902,Loreto,Parinari,"RIVAS PANDURO, Santiago. 2010. Informe de viaje realizado a la Reserva Pacaya Samiria. 8 pp. Manuscrito. Iquitos, Perú. (Oral testimony to Santiago Rivas Panduro from José Grocio Gil Navarro, 2010, Jefe de la Reserva Nacional Pacaya Samiria)"
Zapotal,-4.734583004821295,-74.25464987185471,Loreto,Parinari,"MORALES CHOCANO, Daniel. 2002. Contactos entre cocamas y shipibos: un acercamiento arqueológico a la Amazonía peruana. pp. 47-70. Investigaciones Sociales, Año 6, N°10. UNMSM. Lima, Perú."
